movieId,title,genres,year,rating
1,Toy Story,"['adventure', 'animation', 'children', 'comedy', 'fantasy']",1995,3.9209302325581397
2,Jumanji,"['adventure', 'children', 'fantasy']",1995,3.4318181818181817
3,Grumpier Old Men,"['comedy', 'romance']",1995,3.2596153846153846
4,Waiting to Exhale,"['comedy', 'drama', 'romance']",1995,2.357142857142857
5,Father of the Bride Part II,['comedy'],1995,3.0714285714285716
6,Heat,"['action', 'crime', 'thriller']",1995,3.946078431372549
7,Sabrina,"['comedy', 'romance']",1995,3.185185185185185
8,Tom and Huck,"['adventure', 'children']",1995,2.875
9,Sudden Death,['action'],1995,3.125
10,GoldenEye,"['action', 'adventure', 'thriller']",1995,3.496212121212121
11,"American President, The","['comedy', 'drama', 'romance']",1995,3.6714285714285713
12,Dracula: Dead and Loving It,"['comedy', 'horror']",1995,2.4210526315789473
13,Balto,"['adventure', 'animation', 'children']",1995,3.125
14,Nixon,['drama'],1995,3.8333333333333335
15,Cutthroat Island,"['action', 'adventure', 'romance']",1995,3.0
16,Casino,"['crime', 'drama']",1995,3.926829268292683
17,Sense and Sensibility,"['drama', 'romance']",1995,3.7761194029850746
18,Four Rooms,['comedy'],1995,3.7
19,Ace Ventura: When Nature Calls,['comedy'],1995,2.727272727272727
20,Money Train,"['action', 'comedy', 'crime', 'drama', 'thriller']",1995,2.5
21,Get Shorty,"['comedy', 'crime', 'thriller']",1995,3.49438202247191
22,Copycat,"['crime', 'drama', 'horror', 'mystery', 'thriller']",1995,3.2222222222222223
23,Assassins,"['action', 'crime', 'thriller']",1995,3.125
24,Powder,"['drama', 'sci-fi']",1995,3.125
25,Leaving Las Vegas,"['drama', 'romance']",1995,3.625
26,Othello,['drama'],1995,3.5
27,Now and Then,"['children', 'drama']",1995,3.3333333333333335
28,Persuasion,"['drama', 'romance']",1995,4.2272727272727275
29,"City of Lost Children, The (Cité des enfants perdus, La)","['adventure', 'drama', 'fantasy', 'mystery', 'sci-fi']",1995,4.0131578947368425
30,Shanghai Triad (Yao a yao yao dao waipo qiao),"['crime', 'drama']",1995,3.0
31,Dangerous Minds,['drama'],1995,3.1842105263157894
32,Twelve Monkeys (a.k.a. 12 Monkeys),"['mystery', 'sci-fi', 'thriller']",1995,3.983050847457627
34,Babe,"['children', 'drama']",1995,3.65234375
36,Dead Man Walking,"['crime', 'drama']",1995,3.8358208955223883
38,It Takes Two,"['children', 'comedy']",1995,2.125
39,Clueless,"['comedy', 'romance']",1995,3.293269230769231
40,"Cry, the Beloved Country",['drama'],1995,4.25
41,Richard III,"['drama', 'war']",1995,3.7
42,Dead Presidents,"['action', 'crime', 'drama']",1995,3.0
43,Restoration,['drama'],1995,3.1875
44,Mortal Kombat,"['action', 'adventure', 'fantasy']",1995,2.5434782608695654
45,To Die For,"['comedy', 'drama', 'thriller']",1995,3.3125
46,How to Make an American Quilt,"['drama', 'romance']",1995,3.066666666666667
47,Seven (a.k.a. Se7en),"['mystery', 'thriller']",1995,3.9753694581280787
48,Pocahontas,"['animation', 'children', 'drama', 'musical', 'romance']",1995,3.1470588235294117
49,When Night Is Falling,"['drama', 'romance']",1995,3.0
50,"Usual Suspects, The","['crime', 'mystery', 'thriller']",1995,4.237745098039215
52,Mighty Aphrodite,"['comedy', 'drama', 'romance']",1995,3.4642857142857144
53,Lamerica,"['adventure', 'drama']",1994,5.0
54,"Big Green, The","['children', 'comedy']",1995,2.3333333333333335
55,Georgia,['drama'],1995,4.0
57,Home for the Holidays,['drama'],1995,3.0625
